entry,requirement,ground_truth
185,"Enable BGP 65001 on R1 and R4, configure iBGP between them using loopback addresses, and ensure OSPF advertises the loopbacks so the session comes up.","R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# network 11.11.11.11 0.0.0.0 area 0
R1(config-router)# exit
R1(config)# router bgp 65001
R1(config-router)# neighbor 44.44.44.44 remote-as 65001
R1(config-router)# neighbor 44.44.44.44 update-source Loopback0
R1(config-router)# end

R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# network 44.44.44.44 0.0.0.0 area 0
R4(config-router)# exit
R4(config)# router bgp 65001
R4(config-router)# neighbor 11.11.11.11 remote-as 65001
R4(config-router)# neighbor 11.11.11.11 update-source Loopback0
R4(config-router)# end"
186,Configure MPLS LDP on all four routers' core-facing interfaces and set each router's LDP router-id to its loopback 0.,"R1# configure terminal
R1(config)# mpls ldp router-id Loopback0 force
R1(config)# interface Ethernet0/1
R1(config-if)# mpls ip
R1(config-if)# exit
R1(config)# interface Ethernet0/2
R1(config-if)# mpls ip
R1(config-if)# end

R2# configure terminal
R2(config)# mpls ldp router-id Loopback0 force
R2(config)# interface Ethernet0/0
R2(config-if)# mpls ip
R2(config-if)# exit
R2(config)# interface Ethernet0/1
R2(config-if)# mpls ip
R2(config-if)# exit
R2(config)# interface Ethernet0/2
R2(config-if)# mpls ip
R2(config-if)# end

R3# configure terminal
R3(config)# mpls ldp router-id Loopback0 force
R3(config)# interface Ethernet0/0
R3(config-if)# mpls ip
R3(config-if)# exit
R3(config)# interface Ethernet0/1
R3(config-if)# mpls ip
R3(config-if)# end

R4# configure terminal
R4(config)# mpls ldp router-id Loopback0 force
R4(config)# interface Ethernet0/0
R4(config-if)# mpls ip
R4(config-if)# exit
R4(config)# interface Ethernet0/1
R4(config-if)# mpls ip
R4(config-if)# exit
R4(config)# interface Ethernet0/2
R4(config-if)# mpls ip
R4(config-if)# end"
187,"Redistribute EIGRP 100 into OSPF 1 on R2 and R3 simultaneously, ensuring routes carry subnets and metric-type 2.","R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# redistribute eigrp 100 subnets metric-type 2
R2(config-router)# end

R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# redistribute eigrp 100 subnets metric-type 2
R3(config-router)# end"
188,Configure a QoS policy on R1 and R3 that marks voice traffic (DSCP ef) as priority and shapes everything else to 5 Mbps on their LAN-facing interfaces.,"R1# configure terminal
R1(config)# class-map match-all VOICE
R1(config-cmap)# match dscp ef
R1(config-cmap)# exit
R1(config)# class-map match-all DATA
R1(config-cmap)# match any
R1(config-cmap)# exit
R1(config)# policy-map LAN_QOS
R1(config-pmap)# class VOICE
R1(config-pmap-c)# priority 512
R1(config-pmap-c)# exit
R1(config-pmap)# class DATA
R1(config-pmap-c)# shape average 5000000
R1(config-pmap-c)# end
R1(config)# interface Ethernet0/0
R1(config-if)# service-policy output LAN_QOS
R1(config-if)# end

R3# configure terminal
R3(config)# class-map match-all VOICE
R3(config-cmap)# match dscp ef
R3(config-cmap)# exit
R3(config)# class-map match-all DATA
R3(config-cmap)# match any
R3(config-cmap)# exit
R3(config)# policy-map LAN_QOS
R3(config-pmap)# class VOICE
R3(config-pmap-c)# priority 512
R3(config-pmap-c)# exit
R3(config-pmap)# class DATA
R3(config-pmap-c)# shape average 5000000
R3(config-pmap-c)# end
R3(config)# interface Ethernet0/2
R3(config-if)# service-policy output LAN_QOS
R3(config-if)# end"
189,"Configure full mesh iBGP among R1, R2, R3, and R4 (all in AS 65001), using loopback 0 as update-source, with next-hop-self on each session.","R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# neighbor 22.22.22.22 remote-as 65001
R1(config-router)# neighbor 22.22.22.22 update-source Loopback0
R1(config-router)# neighbor 22.22.22.22 next-hop-self
R1(config-router)# neighbor 33.33.33.33 remote-as 65001
R1(config-router)# neighbor 33.33.33.33 update-source Loopback0
R1(config-router)# neighbor 33.33.33.33 next-hop-self
R1(config-router)# neighbor 44.44.44.44 remote-as 65001
R1(config-router)# neighbor 44.44.44.44 update-source Loopback0
R1(config-router)# neighbor 44.44.44.44 next-hop-self
R1(config-router)# end

R2# configure terminal
R2(config)# router bgp 65001
R2(config-router)# neighbor 11.11.11.11 remote-as 65001
R2(config-router)# neighbor 11.11.11.11 update-source Loopback0
R2(config-router)# neighbor 11.11.11.11 next-hop-self
R2(config-router)# neighbor 33.33.33.33 remote-as 65001
R2(config-router)# neighbor 33.33.33.33 update-source Loopback0
R2(config-router)# neighbor 33.33.33.33 next-hop-self
R2(config-router)# neighbor 44.44.44.44 remote-as 65001
R2(config-router)# neighbor 44.44.44.44 update-source Loopback0
R2(config-router)# neighbor 44.44.44.44 next-hop-self
R2(config-router)# end

R3# configure terminal
R3(config)# router bgp 65001
R3(config-router)# neighbor 11.11.11.11 remote-as 65001
R3(config-router)# neighbor 11.11.11.11 update-source Loopback0
R3(config-router)# neighbor 11.11.11.11 next-hop-self
R3(config-router)# neighbor 22.22.22.22 remote-as 65001
R3(config-router)# neighbor 22.22.22.22 update-source Loopback0
R3(config-router)# neighbor 22.22.22.22 next-hop-self
R3(config-router)# neighbor 44.44.44.44 remote-as 65001
R3(config-router)# neighbor 44.44.44.44 update-source Loopback0
R3(config-router)# neighbor 44.44.44.44 next-hop-self
R3(config-router)# end

R4# configure terminal
R4(config)# router bgp 65001
R4(config-router)# neighbor 11.11.11.11 remote-as 65001
R4(config-router)# neighbor 11.11.11.11 update-source Loopback0
R4(config-router)# neighbor 11.11.11.11 next-hop-self
R4(config-router)# neighbor 22.22.22.22 remote-as 65001
R4(config-router)# neighbor 22.22.22.22 update-source Loopback0
R4(config-router)# neighbor 22.22.22.22 next-hop-self
R4(config-router)# neighbor 33.33.33.33 remote-as 65001
R4(config-router)# neighbor 33.33.33.33 update-source Loopback0
R4(config-router)# neighbor 33.33.33.33 next-hop-self
R4(config-router)# end"
190,"Configure GRE tunnels between R1-R3 and R2-R4, then run OSPF over the tunnels so that h1 and h2 can reach each other through the tunnel paths.","R1# configure terminal
R1(config)# interface Tunnel0
R1(config-if)# ip address 172.16.13.1 255.255.255.252
R1(config-if)# tunnel source Ethernet0/1
R1(config-if)# tunnel destination 10.0.23.2
R1(config-if)# exit
R1(config)# router ospf 1
R1(config-router)# network 172.16.13.0 0.0.0.3 area 0
R1(config-router)# end

R3# configure terminal
R3(config)# interface Tunnel0
R3(config-if)# ip address 172.16.13.2 255.255.255.252
R3(config-if)# tunnel source Ethernet0/0
R3(config-if)# tunnel destination 10.0.12.1
R3(config-if)# exit
R3(config)# router ospf 1
R3(config-router)# network 172.16.13.0 0.0.0.3 area 0
R3(config-router)# end

R2# configure terminal
R2(config)# interface Tunnel1
R2(config-if)# ip address 172.16.24.1 255.255.255.252
R2(config-if)# tunnel source Ethernet0/2
R2(config-if)# tunnel destination 10.0.24.2
R2(config-if)# exit
R2(config)# router ospf 1
R2(config-router)# network 172.16.24.0 0.0.0.3 area 0
R2(config-router)# end

R4# configure terminal
R4(config)# interface Tunnel1
R4(config-if)# ip address 172.16.24.2 255.255.255.252
R4(config-if)# tunnel source Ethernet0/1
R4(config-if)# tunnel destination 10.0.23.1
R4(config-if)# exit
R4(config)# router ospf 1
R4(config-router)# network 172.16.24.0 0.0.0.3 area 0
R4(config-router)# end"
191,"Configure VRF CUST_A on R1 and R2, assign the interfaces on the R1-R2 link to CUST_A, and set up a static route within the VRF so that CUST_A traffic is forwarded correctly.","R1# configure terminal
R1(config)# ip vrf CUST_A
R1(config-vrf)# rd 65001:10
R1(config-vrf)# exit
R1(config)# interface Ethernet0/1
R1(config-if)# ip vrf forwarding CUST_A
R1(config-if)# ip address 10.0.12.1 255.255.255.0
R1(config-if)# exit
R1(config)# ip route vrf CUST_A 10.0.2.0 255.255.255.0 10.0.12.2
R1(config)# end

R2# configure terminal
R2(config)# ip vrf CUST_A
R2(config-vrf)# rd 65001:10
R2(config-vrf)# exit
R2(config)# interface Ethernet0/0
R2(config-if)# ip vrf forwarding CUST_A
R2(config-if)# ip address 10.0.12.2 255.255.255.0
R2(config-if)# exit
R2(config)# ip route vrf CUST_A 10.0.1.0 255.255.255.0 10.0.12.1
R2(config)# end"
192,"Configure mutual redistribution between BGP 65001 and OSPF 1 on R1, and between BGP 65002 and OSPF 1 on R2, using route-maps to tag redistributed routes and prevent routing loops.","R1# configure terminal
R1(config)# route-map OSPF_TO_BGP permit 10
R1(config-route-map)# match tag 100
R1(config-route-map)# exit
R1(config)# route-map BGP_TO_OSPF permit 10
R1(config-route-map)# set tag 200
R1(config-route-map)# exit
R1(config)# router ospf 1
R1(config-router)# redistribute bgp 65001 subnets route-map BGP_TO_OSPF
R1(config-router)# exit
R1(config)# router bgp 65001
R1(config-router)# redistribute ospf 1 route-map OSPF_TO_BGP
R1(config-router)# end

R2# configure terminal
R2(config)# route-map OSPF_TO_BGP permit 10
R2(config-route-map)# match tag 100
R2(config-route-map)# exit
R2(config)# route-map BGP_TO_OSPF permit 10
R2(config-route-map)# set tag 200
R2(config-route-map)# exit
R2(config)# router ospf 1
R2(config-router)# redistribute bgp 65002 subnets route-map BGP_TO_OSPF
R2(config-router)# exit
R2(config)# router bgp 65002
R2(config-router)# redistribute ospf 1 route-map OSPF_TO_BGP
R2(config-router)# end"
193,"Configure end-to-end QoS: mark voice DSCP ef at SW1's uplink toward R1, propagate the marking through R1 and R2, and apply a priority queue policy on R2's interface toward R3.","R1# configure terminal
R1(config)# class-map match-all VOICE
R1(config-cmap)# match dscp ef
R1(config-cmap)# exit
R1(config)# policy-map PROPAGATE_QOS
R1(config-pmap)# class VOICE
R1(config-pmap-c)# set dscp ef
R1(config-pmap-c)# end
R1(config)# interface Ethernet0/0
R1(config-if)# service-policy input PROPAGATE_QOS
R1(config-if)# end

R2# configure terminal
R2(config)# class-map match-all VOICE
R2(config-cmap)# match dscp ef
R2(config-cmap)# exit
R2(config)# policy-map PQ_TOWARD_R3
R2(config-pmap)# class VOICE
R2(config-pmap-c)# priority 512
R2(config-pmap-c)# end
R2(config)# interface Ethernet0/1
R2(config-if)# service-policy output PQ_TOWARD_R3
R2(config-if)# end"
194,"Configure OSPF multi-area with area 0 on the R1-R2 and R2-R3 links, area 14 on R1-R4, and area 23 on R3-R4; make R2 and R3 ABRs with appropriate network statements.","R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# network 10.0.12.0 0.0.0.255 area 0
R1(config-router)# network 10.0.14.0 0.0.0.255 area 14
R1(config-router)# end

R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# network 10.0.12.0 0.0.0.255 area 0
R2(config-router)# network 10.0.23.0 0.0.0.255 area 0
R2(config-router)# network 10.0.24.0 0.0.0.255 area 0
R2(config-router)# end

R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# network 10.0.23.0 0.0.0.255 area 0
R3(config-router)# network 10.0.34.0 0.0.0.255 area 23
R3(config-router)# end

R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# network 10.0.14.0 0.0.0.255 area 14
R4(config-router)# network 10.0.34.0 0.0.0.255 area 23
R4(config-router)# end"
195,"Configure IPSec between R1 and R3 to encrypt traffic between the 10.0.1.0/24 and 10.0.2.0/24 networks, using AES-256 and SHA-256.","R1# configure terminal
R1(config)# crypto isakmp policy 30
R1(config-isakmp)# encryption aes 256
R1(config-isakmp)# hash sha256
R1(config-isakmp)# authentication pre-share
R1(config-isakmp)# group 14
R1(config-isakmp)# exit
R1(config)# crypto isakmp key securekey address 10.0.23.2
R1(config)# crypto ipsec transform-set TS_AES256 esp-aes 256 esp-sha256-hmac
R1(cfg-crypto-trans)# exit
R1(config)# access-list 120 permit ip 10.0.1.0 0.0.0.255 10.0.2.0 0.0.0.255
R1(config)# crypto map MAP_R1R3 30 ipsec-isakmp
R1(config-crypto-map)# set peer 10.0.23.2
R1(config-crypto-map)# set transform-set TS_AES256
R1(config-crypto-map)# match address 120
R1(config-crypto-map)# exit
R1(config)# interface Ethernet0/1
R1(config-if)# crypto map MAP_R1R3
R1(config-if)# end

R3# configure terminal
R3(config)# crypto isakmp policy 30
R3(config-isakmp)# encryption aes 256
R3(config-isakmp)# hash sha256
R3(config-isakmp)# authentication pre-share
R3(config-isakmp)# group 14
R3(config-isakmp)# exit
R3(config)# crypto isakmp key securekey address 10.0.12.1
R3(config)# crypto ipsec transform-set TS_AES256 esp-aes 256 esp-sha256-hmac
R3(cfg-crypto-trans)# exit
R3(config)# access-list 120 permit ip 10.0.2.0 0.0.0.255 10.0.1.0 0.0.0.255
R3(config)# crypto map MAP_R3R1 30 ipsec-isakmp
R3(config-crypto-map)# set peer 10.0.12.1
R3(config-crypto-map)# set transform-set TS_AES256
R3(config-crypto-map)# match address 120
R3(config-crypto-map)# exit
R3(config)# interface Ethernet0/0
R3(config-if)# crypto map MAP_R3R1
R3(config-if)# end"
196,"Configure BGP route reflector on R2 (AS 65001) with R1 and R3 as clients, so that iBGP routes are propagated without a full mesh.","R2# configure terminal
R2(config)# router bgp 65001
R2(config-router)# bgp cluster-id 2
R2(config-router)# neighbor 11.11.11.11 remote-as 65001
R2(config-router)# neighbor 11.11.11.11 update-source Loopback0
R2(config-router)# neighbor 11.11.11.11 route-reflector-client
R2(config-router)# neighbor 33.33.33.33 remote-as 65001
R2(config-router)# neighbor 33.33.33.33 update-source Loopback0
R2(config-router)# neighbor 33.33.33.33 route-reflector-client
R2(config-router)# end"
197,"Configure EIGRP 100 on all four routers with MD5 authentication on all core links, so that neighborships only form between authenticated peers.","R1# configure terminal
R1(config)# key chain EKEY
R1(config-keychain)# key 1
R1(config-keychain-key)# key-string eigrpauth
R1(config-keychain-key)# exit
R1(config)# router eigrp 100
R1(config-router)# network 0.0.0.0
R1(config-router)# no auto-summary
R1(config-router)# exit
R1(config)# interface Ethernet0/1
R1(config-if)# ip authentication mode eigrp 100 md5
R1(config-if)# ip authentication key-chain eigrp 100 EKEY
R1(config-if)# exit
R1(config)# interface Ethernet0/2
R1(config-if)# ip authentication mode eigrp 100 md5
R1(config-if)# ip authentication key-chain eigrp 100 EKEY
R1(config-if)# end

R2# configure terminal
R2(config)# key chain EKEY
R2(config-keychain)# key 1
R2(config-keychain-key)# key-string eigrpauth
R2(config-keychain-key)# exit
R2(config)# router eigrp 100
R2(config-router)# network 0.0.0.0
R2(config-router)# no auto-summary
R2(config-router)# exit
R2(config)# interface Ethernet0/0
R2(config-if)# ip authentication mode eigrp 100 md5
R2(config-if)# ip authentication key-chain eigrp 100 EKEY
R2(config-if)# exit
R2(config)# interface Ethernet0/1
R2(config-if)# ip authentication mode eigrp 100 md5
R2(config-if)# ip authentication key-chain eigrp 100 EKEY
R2(config-if)# exit
R2(config)# interface Ethernet0/2
R2(config-if)# ip authentication mode eigrp 100 md5
R2(config-if)# ip authentication key-chain eigrp 100 EKEY
R2(config-if)# end

R3# configure terminal
R3(config)# key chain EKEY
R3(config-keychain)# key 1
R3(config-keychain-key)# key-string eigrpauth
R3(config-keychain-key)# exit
R3(config)# router eigrp 100
R3(config-router)# network 0.0.0.0
R3(config-router)# no auto-summary
R3(config-router)# exit
R3(config)# interface Ethernet0/0
R3(config-if)# ip authentication mode eigrp 100 md5
R3(config-if)# ip authentication key-chain eigrp 100 EKEY
R3(config-if)# exit
R3(config)# interface Ethernet0/1
R3(config-if)# ip authentication mode eigrp 100 md5
R3(config-if)# ip authentication key-chain eigrp 100 EKEY
R3(config-if)# end

R4# configure terminal
R4(config)# key chain EKEY
R4(config-keychain)# key 1
R4(config-keychain-key)# key-string eigrpauth
R4(config-keychain-key)# exit
R4(config)# router eigrp 100
R4(config-router)# network 0.0.0.0
R4(config-router)# no auto-summary
R4(config-router)# exit
R4(config)# interface Ethernet0/0
R4(config-if)# ip authentication mode eigrp 100 md5
R4(config-if)# ip authentication key-chain eigrp 100 EKEY
R4(config-if)# exit
R4(config)# interface Ethernet0/1
R4(config-if)# ip authentication mode eigrp 100 md5
R4(config-if)# ip authentication key-chain eigrp 100 EKEY
R4(config-if)# exit
R4(config)# interface Ethernet0/2
R4(config-if)# ip authentication mode eigrp 100 md5
R4(config-if)# ip authentication key-chain eigrp 100 EKEY
R4(config-if)# end"
198,"Configure VRF-Lite with two VRFs (CUST_A and CUST_B) on R2, assign one interface per VRF, and set up static routes within each VRF to reach the respective LANs.","R2# configure terminal
R2(config)# ip vrf CUST_A
R2(config-vrf)# rd 65001:10
R2(config-vrf)# exit
R2(config)# ip vrf CUST_B
R2(config-vrf)# rd 65001:20
R2(config-vrf)# exit
R2(config)# interface Ethernet0/0
R2(config-if)# ip vrf forwarding CUST_A
R2(config-if)# ip address 10.0.12.2 255.255.255.0
R2(config-if)# exit
R2(config)# interface Ethernet0/1
R2(config-if)# ip vrf forwarding CUST_B
R2(config-if)# ip address 10.0.23.1 255.255.255.0
R2(config-if)# exit
R2(config)# ip route vrf CUST_A 10.0.1.0 255.255.255.0 10.0.12.1
R2(config)# ip route vrf CUST_B 10.0.2.0 255.255.255.0 10.0.23.2
R2(config)# end"
199,Configure BGP 65001 on R1 and R4 with iBGP using route reflector on R1 as server and R4 as client; ensure OSPF carries the loopbacks needed for the session.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# network 11.11.11.11 0.0.0.0 area 0
R1(config-router)# exit
R1(config)# router bgp 65001
R1(config-router)# bgp cluster-id 1
R1(config-router)# neighbor 44.44.44.44 remote-as 65001
R1(config-router)# neighbor 44.44.44.44 update-source Loopback0
R1(config-router)# neighbor 44.44.44.44 route-reflector-client
R1(config-router)# end

R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# network 44.44.44.44 0.0.0.0 area 0
R4(config-router)# exit
R4(config)# router bgp 65001
R4(config-router)# neighbor 11.11.11.11 remote-as 65001
R4(config-router)# neighbor 11.11.11.11 update-source Loopback0
R4(config-router)# end"
200,"Configure a full service-provider-like stack on R2: enable MPLS LDP on all core interfaces, redistribute OSPF into BGP 65002, set up route reflector for two iBGP clients (R1 loopback 11.11.11.11 and R3 loopback 33.33.33.33), and apply a QoS policy that prioritizes DSCP ef traffic outbound on the interface toward R3.","R2# configure terminal
R2(config)# mpls ldp router-id Loopback0 force
R2(config)# interface Ethernet0/0
R2(config-if)# mpls ip
R2(config-if)# exit
R2(config)# interface Ethernet0/1
R2(config-if)# mpls ip
R2(config-if)# exit
R2(config)# interface Ethernet0/2
R2(config-if)# mpls ip
R2(config-if)# exit
R2(config)# router bgp 65002
R2(config-router)# bgp cluster-id 2
R2(config-router)# neighbor 11.11.11.11 remote-as 65002
R2(config-router)# neighbor 11.11.11.11 update-source Loopback0
R2(config-router)# neighbor 11.11.11.11 route-reflector-client
R2(config-router)# neighbor 33.33.33.33 remote-as 65002
R2(config-router)# neighbor 33.33.33.33 update-source Loopback0
R2(config-router)# neighbor 33.33.33.33 route-reflector-client
R2(config-router)# redistribute ospf 1
R2(config-router)# exit
R2(config)# class-map match-all VOICE
R2(config-cmap)# match dscp ef
R2(config-cmap)# exit
R2(config)# policy-map PQ_R3
R2(config-pmap)# class VOICE
R2(config-pmap-c)# priority 512
R2(config-pmap-c)# end
R2(config)# interface Ethernet0/1
R2(config-if)# service-policy output PQ_R3
R2(config-if)# end"
201,Enable IPv6 unicast routing on R1.,"R1# configure terminal
R1(config)# ipv6 unicast-routing
R1(config)# end"
202,Configure the IPv6 address 2001:db8:1::1/64 on R1's interface connecting to SW1.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# ipv6 address 2001:db8:1::1/64
R1(config-if)# no shutdown
R1(config-if)# end"
203,Configure the IPv6 address 2001:db8:12::1/64 on R1's interface connecting to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ipv6 address 2001:db8:12::1/64
R1(config-if)# no shutdown
R1(config-if)# end"
204,Configure an IPv6 address on R1's Loopback0 interface using 2001:db8:ffff::1/128.,"R1# configure terminal
R1(config)# interface Loopback0
R1(config-if)# ipv6 address 2001:db8:ffff::1/128
R1(config-if)# end"
205,Assign a manual link-local address fe80::1 to R1's interface facing R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ipv6 address fe80::1 link-local
R1(config-if)# end"
206,Configure an IPv6 static route on R1 to reach 2001:db8:2::/64 via R2's link-local address fe80::2 on Ethernet0/1.,"R1# configure terminal
R1(config)# ipv6 route 2001:db8:2::/64 Ethernet0/1 fe80::2
R1(config)# end"
207,Configure an IPv6 default route on R3 pointing to R2's interface address 2001:db8:23::1.,"R3# configure terminal
R3(config)# ipv6 route ::/0 2001:db8:23::1
R3(config)# end"
208,Enable OSPFv3 process 1 on R1 and set the router-id to 1.1.1.1.,"R1# configure terminal
R1(config)# ipv6 router ospf 1
R1(config-rtr)# router-id 1.1.1.1
R1(config-rtr)# end"
209,Enable OSPFv3 process 1 area 0 on R1's interface connecting to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ipv6 ospf 1 area 0
R1(config-if)# end"
210,"Configure OSPFv3 on R2 and R3: set router-ids, assign all core interfaces to area 0.","R2# configure terminal
R2(config)# ipv6 router ospf 1
R2(config-rtr)# router-id 2.2.2.2
R2(config-rtr)# exit
R2(config)# interface Ethernet0/0
R2(config-if)# ipv6 ospf 1 area 0
R2(config-if)# exit
R2(config)# interface Ethernet0/1
R2(config-if)# ipv6 ospf 1 area 0
R2(config-if)# exit
R2(config)# interface Ethernet0/2
R2(config-if)# ipv6 ospf 1 area 0
R2(config-if)# end

R3# configure terminal
R3(config)# ipv6 router ospf 1
R3(config-rtr)# router-id 3.3.3.3
R3(config-rtr)# exit
R3(config)# interface Ethernet0/0
R3(config-if)# ipv6 ospf 1 area 0
R3(config-if)# exit
R3(config)# interface Ethernet0/1
R3(config-if)# ipv6 ospf 1 area 0
R3(config-if)# end"
211,"Place R4's interface toward R1 in OSPFv3 area 14, and its interface toward R2 in area 0.","R4# configure terminal
R4(config)# ipv6 router ospf 1
R4(config-rtr)# router-id 4.4.4.4
R4(config-rtr)# exit
R4(config)# interface Ethernet0/0
R4(config-if)# ipv6 ospf 1 area 14
R4(config-if)# exit
R4(config)# interface Ethernet0/1
R4(config-if)# ipv6 ospf 1 area 0
R4(config-if)# end"
212,Configure R3's interface facing SW2 as a passive interface in OSPFv3 process 1.,"R3# configure terminal
R3(config)# ipv6 router ospf 1
R3(config-rtr)# passive-interface Ethernet0/2
R3(config-rtr)# end"
213,Configure an IPv6 named ACL BLOCK_TELNET6 on R1 that denies Telnet (port 23) from 2001:db8:1::/64 and permits everything else.,"R1# configure terminal
R1(config)# ipv6 access-list BLOCK_TELNET6
R1(config-ipv6-acl)# deny tcp 2001:db8:1::/64 any eq 23
R1(config-ipv6-acl)# permit ipv6 any any
R1(config-ipv6-acl)# end"
214,Apply the IPv6 ACL BLOCK_TELNET6 inbound on R1's interface facing SW1.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# ipv6 traffic-filter BLOCK_TELNET6 in
R1(config-if)# end"
215,Configure an IPv6 ACL on R2 that blocks ICMPv6 echo-request from 2001:db8:1::/64 but allows all other ICMPv6 messages.,"R2# configure terminal
R2(config)# ipv6 access-list LIMIT_ICMP6
R2(config-ipv6-acl)# deny icmp 2001:db8:1::/64 any echo-request
R2(config-ipv6-acl)# permit icmp any any
R2(config-ipv6-acl)# permit ipv6 any any
R2(config-ipv6-acl)# end"
216,Configure an IPv6 ACL on R3 that explicitly permits ICMPv6 Neighbor Discovery messages (neighbor-solicitation and neighbor-advertisement) so that NDP is not broken.,"R3# configure terminal
R3(config)# ipv6 access-list PERMIT_NDP
R3(config-ipv6-acl)# permit icmp any any nd-ns
R3(config-ipv6-acl)# permit icmp any any nd-na
R3(config-ipv6-acl)# permit ipv6 any any
R3(config-ipv6-acl)# end"
217,"Configure BGP 65001 on R1 and activate the IPv6 address-family, advertising the prefix 2001:db8:1::/64.","R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# no bgp default ipv4-unicast
R1(config-router)# neighbor 2001:db8:12::2 remote-as 65002
R1(config-router)# address-family ipv6
R1(config-router-af)# neighbor 2001:db8:12::2 activate
R1(config-router-af)# network 2001:db8:1::/64
R1(config-router-af)# exit-address-family
R1(config-router)# end"
218,Activate the BGP IPv6 neighbor 2001:db8:12::1 (R1) on R2 within address-family ipv6 and advertise 2001:db8:2::/64.,"R2# configure terminal
R2(config)# router bgp 65002
R2(config-router)# no bgp default ipv4-unicast
R2(config-router)# neighbor 2001:db8:12::1 remote-as 65001
R2(config-router)# address-family ipv6
R2(config-router-af)# neighbor 2001:db8:12::1 activate
R2(config-router-af)# network 2001:db8:2::/64
R2(config-router-af)# exit-address-family
R2(config-router)# end"
219,"Configure a GRE tunnel between R1 and R3 to carry IPv6 traffic, assigning IPv6 addresses 2001:db8:tun::1/64 and 2001:db8:tun::2/64 on each end.","R1# configure terminal
R1(config)# interface Tunnel10
R1(config-if)# ipv6 address 2001:db8:tun::1/64
R1(config-if)# tunnel source Ethernet0/1
R1(config-if)# tunnel destination 10.0.23.2
R1(config-if)# tunnel mode gre ip
R1(config-if)# end

R3# configure terminal
R3(config)# interface Tunnel10
R3(config-if)# ipv6 address 2001:db8:tun::2/64
R3(config-if)# tunnel source Ethernet0/0
R3(config-if)# tunnel destination 10.0.12.1
R3(config-if)# tunnel mode gre ip
R3(config-if)# end"
220,Redistribute OSPFv3 process 1 routes into BGP IPv6 address-family on R2.,"R2# configure terminal
R2(config)# router bgp 65002
R2(config-router)# address-family ipv6
R2(config-router-af)# redistribute ospf 1
R2(config-router-af)# exit-address-family
R2(config-router)# end"
221,"Configure a stateless DHCPv6 pool on R1 named IPV6_POOL that provides DNS server 2001:db8::53 and domain cisco.local, and apply it to the interface facing SW1.","R1# configure terminal
R1(config)# ipv6 dhcp pool IPV6_POOL
R1(config-dhcpv6)# dns-server 2001:db8::53
R1(config-dhcpv6)# domain-name cisco.local
R1(config-dhcpv6)# exit
R1(config)# interface Ethernet0/0
R1(config-if)# ipv6 dhcp server IPV6_POOL
R1(config-if)# end"
222,Enable SLAAC on R1's interface facing SW1 by configuring the IPv6 prefix and enabling RA advertisements with a valid prefix announcement.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# ipv6 address 2001:db8:1::1/64
R1(config-if)# ipv6 nd prefix 2001:db8:1::/64
R1(config-if)# no ipv6 nd suppress-ra
R1(config-if)# end"
223,"Configure an EtherChannel using LACP active mode on SW1 with interfaces Fa0/1 and Fa0/2, creating Port-channel 1.","SW1# configure terminal
SW1(config)# interface range Fa0/1 - 2
SW1(config-if-range)# channel-group 1 mode active
SW1(config-if-range)# end"
224,"Configure EtherChannel between SW1 (LACP active) and SW2 (LACP passive) using interfaces Fa0/1 and Fa0/2, creating Port-channel 1 on both switches.","SW1# configure terminal
SW1(config)# interface range Fa0/1 - 2
SW1(config-if-range)# channel-group 1 mode active
SW1(config-if-range)# end

SW2# configure terminal
SW2(config)# interface range Fa0/1 - 2
SW2(config-if-range)# channel-group 1 mode passive
SW2(config-if-range)# end"
225,Configure Port-channel 1 on SW1 as a trunk port.,"SW1# configure terminal
SW1(config)# interface Port-channel1
SW1(config-if)# switchport mode trunk
SW1(config-if)# end"
226,Configure Port-channel 1 on SW2 as an access port in VLAN 10.,"SW2# configure terminal
SW2(config)# interface Port-channel1
SW2(config-if)# switchport mode access
SW2(config-if)# switchport access vlan 10
SW2(config-if)# end"
227,Allow only VLANs 10 and 30 on the trunk Port-channel 1 of SW1.,"SW1# configure terminal
SW1(config)# interface Port-channel1
SW1(config-if)# switchport trunk allowed vlan 10,30
SW1(config-if)# end"
